id	label	x	y
sample1	Group_1	1388	83
sample1	Group_5	1241	79
sample1	Group_5	1228	83
sample1	Group_5	1266	81
sample1	Group_5	1548	86
sample1	Group_5	1285	96
sample1	Group_5	1129	96
sample1	Group_1	1380	94
sample1	Group_5	1557	100
sample1	Group_6	1362	96
sample1	Group_6	1451	98
sample1	Group_6	1668	101
sample1	Group_5	1113	103
sample1	Group_6	1654	103
sample1	Group_2	1420	105
sample1	Group_9	1637	104
sample1	Group_5	1461	103
sample1	Group_1	1436	110
sample1	Group_1	1775	114
sample1	Group_5	1285	109
sample1	Group_5	1237	119
sample1	Group_5	1125	116
sample1	Group_8	1270	112
sample1	Group_9	1250	117
sample1	Group_2	1534	117
sample1	Group_9	1088	122
sample1	Group_5	1497	118
sample1	Group_6	1555	121
sample1	Group_6	1713	120
sample1	Group_1	1144	131
sample1	Group_9	1112	132
sample1	Group_9	1129	136
sample1	Group_1	1196	131
sample1	Group_9	1539	139
sample1	Group_6	1761	140
sample1	Group_1	1840	140
sample1	Group_9	1508	139
sample1	Group_5	1321	146
sample1	Group_5	1257	147
sample1	Group_8	1699	146
sample1	Group_1	1628	150
sample1	Group_1	1811	159
sample1	Group_5	1755	150
sample1	Group_5	1647	154
sample1	Group_9	944	156
sample1	Group_6	1325	161
sample1	Group_6	1482	156
sample1	Group_5	1509	159
sample1	Group_1	1741	156
sample1	Group_9	1037	158
sample1	Group_1	1495	159
sample1	Group_5	1709	164
sample1	Group_5	1797	169
sample1	Group_1	1418	168
sample1	Group_5	1281	168
sample1	Group_5	1606	166
sample1	Group_6	1489	169
sample1	Group_9	1098	170
sample1	Group_1	1000	171
sample1	Group_5	1532	173
sample1	Group_1	929	177
sample1	Group_5	1619	175
sample1	Group_6	1897	175
sample1	Group_8	1200	181
sample1	Group_5	1579	187
sample1	Group_9	1480	174
sample1	Group_5	1722	176
sample1	Group_1	1665	175
sample1	Group_9	1914	179
sample1	Group_5	1745	184
sample1	Group_6	1880	181
sample1	Group_5	1755	183
sample1	Group_5	1039	184
sample1	Group_5	1521	183
sample1	Group_9	1177	181
sample1	Group_1	987	184
sample1	Group_2	1298	195
sample1	Group_1	931	189
sample1	Group_9	1107	195
sample1	Group_5	1539	192
sample1	Group_1	1735	195
sample1	Group_6	1135	194
sample1	Group_2	1308	198
sample1	Group_6	1411	197
sample1	Group_6	1502	196
sample1	Group_5	1356	200
sample1	Group_9	1522	201
sample1	Group_1	1636	201
sample1	Group_1	860	205
sample1	Group_1	1028	207
sample1	Group_5	1415	207
sample1	Group_9	1128	208
sample1	Group_6	1263	207
sample1	Group_5	1434	208
sample1	Group_6	1628	213
sample1	Group_1	1906	212
sample1	Group_9	1008	214
sample1	Group_5	1428	210
sample1	Group_9	1796	221
sample1	Group_5	1407	215
sample1	Group_9	1452	215
sample1	Group_5	1149	220
sample1	Group_1	994	225
sample1	Group_1	1548	224
sample1	Group_1	1514	228
sample1	Group_5	1621	227
sample1	Group_7	1675	227
sample1	Group_1	1097	228
sample1	Group_9	1466	230
sample1	Group_9	1252	233
sample1	Group_2	1158	234
sample1	Group_6	824	234
sample1	Group_9	1838	237
sample1	Group_5	1504	241
sample1	Group_5	1642	239
sample1	Group_6	1532	239
sample1	Group_1	1709	238
sample1	Group_6	1551	241
sample1	Group_2	1302	247
sample1	Group_9	1810	242
sample1	Group_9	1977	244
sample1	Group_9	1151	243
sample1	Group_1	940	248
sample1	Group_9	1453	246
sample1	Group_2	1696	249
sample1	Group_5	929	251
sample1	Group_9	1800	253
sample1	Group_5	2052	258
sample1	Group_6	1668	257
sample1	Group_5	1284	269
sample1	Group_6	1160	263
sample1	Group_9	1242	264
sample1	Group_6	1615	264
sample1	Group_5	931	262
sample1	Group_6	1425	265
sample1	Group_6	1603	263
sample1	Group_5	1853	266
sample1	Group_9	1889	265
sample1	Group_5	763	266
sample1	Group_9	1998	269
sample1	Group_1	1561	268
sample1	Group_2	1680	269
sample1	Group_5	1091	271
sample1	Group_5	1074	272
sample1	Group_1	1661	273
sample1	Group_6	2103	274
sample1	Group_9	1758	273
sample1	Group_6	1608	278
sample1	Group_1	965	279
sample1	Group_9	935	284
sample1	Group_6	1772	286
sample1	Group_9	2026	285
sample1	Group_1	838	285
sample1	Group_9	1314	288
sample1	Group_7	1484	285
sample1	Group_5	1905	285
sample1	Group_5	1508	288
sample1	Group_1	978	293
sample1	Group_1	990	296
sample1	Group_5	1043	299
sample1	Group_1	808	301
sample1	Group_9	1995	303
sample1	Group_6	1442	302
sample1	Group_1	849	307
sample1	Group_6	1954	313
sample1	Group_1	1599	309
sample1	Group_1	1866	312
sample1	Group_9	864	312
sample1	Group_9	1708	318
sample1	Group_5	1513	315
sample1	Group_6	1419	317
sample1	Group_1	1581	319
sample1	Group_6	1997	318
sample1	Group_5	2093	323
sample1	Group_8	1307	324
sample1	Group_5	1269	325
sample1	Group_7	1920	329
sample1	Group_1	1545	332
sample1	Group_1	1949	331
sample1	Group_8	1996	335
sample1	Group_9	997	332
sample1	Group_6	1611	334
sample1	Group_1	1985	335
sample1	Group_9	728	341
sample1	Group_6	1745	336
sample1	Group_6	1671	338
sample1	Group_6	1491	340
sample1	Group_9	744	341
sample1	Group_5	1562	342
sample1	Group_9	1021	341
sample1	Group_5	1942	346
sample1	Group_5	1358	343
sample1	Group_6	1522	346
sample1	Group_6	1607	343
sample1	Group_5	1431	348
sample1	Group_5	2146	348
sample1	Group_9	959	351
sample1	Group_6	1821	351
sample1	Group_6	1954	351
sample1	Group_1	2219	351
sample1	Group_5	2189	354
sample1	Group_8	1912	355
sample1	Group_9	755	359
sample1	Group_9	1302	356
sample1	Group_5	1723	355
sample1	Group_9	2112	357
sample1	Group_1	851	359
sample1	Group_5	1439	359
sample1	Group_5	1503	359
sample1	Group_9	1228	363
sample1	Group_5	2201	366
sample1	Group_1	1320	370
sample1	Group_6	1741	368
sample1	Group_5	966	372
sample1	Group_5	1247	373
sample1	Group_6	1727	371
sample1	Group_5	1435	373
sample1	Group_1	937	378
sample1	Group_1	1924	375
sample1	Group_5	975	378
sample1	Group_6	2184	377
sample1	Group_1	990	378
sample1	Group_1	655	384
sample1	Group_6	1406	380
sample1	Group_2	2159	383
sample1	Group_5	2210	385
sample1	Group_5	2061	383
sample1	Group_1	753	385
sample1	Group_9	1293	385
sample1	Group_5	1850	388
sample1	Group_5	1571	389
sample1	Group_9	2195	388
sample1	Group_5	1355	389
sample1	Group_5	2168	389
sample1	Group_9	1111	390
sample1	Group_2	1865	392
sample1	Group_6	1601	391
sample1	Group_1	2127	394
sample1	Group_9	1143	396
sample1	Group_5	1465	397
sample1	Group_5	1670	397
sample1	Group_5	2073	398
sample1	Group_6	2183	397
sample1	Group_9	716	398
sample1	Group_6	1952	396
sample1	Group_1	687	398
sample1	Group_6	752	395
sample1	Group_5	1482	398
sample1	Group_7	1320	402
sample1	Group_5	1921	400
sample1	Group_1	1103	406
sample1	Group_9	2098	400
sample1	Group_5	2137	406
sample1	Group_1	606	407
sample1	Group_9	1088	410
sample1	Group_6	1761	408
sample1	Group_1	2159	409
sample1	Group_6	1457	410
sample1	Group_6	1519	410
sample1	Group_9	1622	408
sample1	Group_6	1868	409
sample1	Group_9	1775	412
sample1	Group_5	2013	410
sample1	Group_5	2049	416
sample1	Group_5	1394	412
sample1	Group_5	1507	415
sample1	Group_1	806	414
sample1	Group_6	1689	414
sample1	Group_1	1328	417
